Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
10.65,0,0.22775218,0.22775218,0.22775218,0.22775218,0.22775218,0,0,0,0,9.791971638,56.96692483,55.84034599,617583700
10.66,0,0.227724133,0.227724133,0.227724133,0.227724133,0.227724133,0,0,0,0,9.787053822,56.95700752,55.83221327,618163600
10.67,0,0.227696143,0.227696143,0.227696143,0.227696143,0.227696143,0,0,0,0,9.782145545,56.94710451,55.82409434,618743500
10.68,0,0.227668211,0.227668211,0.227668211,0.227668211,0.227668211,0,0,0,0,9.777243706,56.93719193,55.81597064,619323400
10.69,0,0.227640366,0.227640366,0.227640366,0.227640366,0.227640366,0,0,0,0,9.772351312,56.92729382,55.80786086,619903200
10.7,0,0.227612569,0.227612569,0.227612569,0.227612569,0.227612569,0,0,0,0,9.767466316,56.91738283,55.79974389,620483100
10.71,0,0.227584849,0.227584849,0.227584849,0.227584849,0.227584849,0,0,0,0,9.762590023,56.90748606,55.79164054,621063000
10.72,0,0.227557196,0.227557196,0.227557196,0.227557196,0.227557196,0,0,0,0,9.757722487,56.89758779,55.78353886,621642900
10.73,0,0.227529591,0.227529591,0.227529591,0.227529591,0.227529591,0,0,0,0,9.752861959,56.88769007,55.77544018,622222800
10.74,0,0.227502062,0.227502062,0.227502062,0.227502062,0.227502062,0,0,0,0,9.748011197,56.87779968,55.76735,622802700
10.75,0,0.227474602,0.227474602,0.227474602,0.227474602,0.227474602,0,0,0,0,9.743167754,56.86791737,55.7592686,623382600
10.76,0,0.227447199,0.227447199,0.227447199,0.227447199,0.227447199,0,0,0,0,9.738332634,56.85803565,55.75119037,623962500
10.77,0,0.227419872,0.227419872,0.227419872,0.227419872,0.227419872,0,0,0,0,9.733504938,56.84814703,55.74310954,624542400
10.78,0,0.227392604,0.227392604,0.227392604,0.227392604,0.227392604,0,0,0,0,9.728686024,56.83827161,55.73504154,625122300
10.79,0,0.227365392,0.227365392,0.227365392,0.227365392,0.227365392,0,0,0,0,9.723875445,56.82838614,55.72696863,625702200
10.8,0,0.227338248,0.227338248,0.227338248,0.227338248,0.227338248,0,0,0,0,9.719071702,56.8185176,55.71891117,626282100
10.81,0,0.227311171,0.227311171,0.227311171,0.227311171,0.227311171,0,0,0,0,9.714277201,56.80864748,55.71085535,626862000
10.82,0,0.227284151,0.227284151,0.227284151,0.227284151,0.227284151,0,0,0,0,9.709490596,56.79877673,55.70280173,627441900
10.83,0,0.227257199,0.227257199,0.227257199,0.227257199,0.227257199,0,0,0,0,9.70471129,56.78891184,55.69475519,628021800
10.84,0,0.227230314,0.227230314,0.227230314,0.227230314,0.227230314,0,0,0,0,9.699940691,56.77904581,55.68671055,628601700
10.85,0,0.227203486,0.227203486,0.227203486,0.227203486,0.227203486,0,0,0,0,9.695178343,56.76918843,55.67867521,629181600
10.86,0,0.227176725,0.227176725,0.227176725,0.227176725,0.227176725,0,0,0,0,9.690422958,56.75933226,55.67064337,629761400
10.87,0,0.227150011,0.227150011,0.227150011,0.227150011,0.227150011,0,0,0,0,9.685676039,56.7494814,55.6626183,630341300
10.88,0,0.227123375,0.227123375,0.227123375,0.227123375,0.227123375,0,0,0,0,9.680936839,56.73962299,55.65459016,630921200
10.89,0,0.227096795,0.227096795,0.227096795,0.227096795,0.227096795,0,0,0,0,9.676205957,56.72977829,55.64657515,631501100
10.9,0,0.227070283,0.227070283,0.227070283,0.227070283,0.227070283,0,0,0,0,9.671482001,56.71993169,55.63856126,632081000
10.91,0,0.227043819,0.227043819,0.227043819,0.227043819,0.227043819,0,0,0,0,9.666767427,56.71008816,55.63055255,632660900
10.92,0,0.227017431,0.227017431,0.227017431,0.227017431,0.227017431,0,0,0,0,9.662059383,56.7002499,55.62255037,633240800
10.93,0,0.22699109,0.22699109,0.22699109,0.22699109,0.22699109,0,0,0,0,9.657359476,56.69041353,55.61455231,633820700
10.94,0,0.226964817,0.226964817,0.226964817,0.226964817,0.226964817,0,0,0,0,9.652667459,56.68058221,55.60656076,634400500
10.95,0,0.22693861,0.22693861,0.22693861,0.22693861,0.22693861,0,0,0,0,9.647983086,56.6707456,55.59856784,634980400
10.96,0,0.226912452,0.226912452,0.226912452,0.226912452,0.226912452,0,0,0,0,9.643306962,56.66091785,55.59058434,635560300
10.97,0,0.226886369,0.226886369,0.226886369,0.226886369,0.226886369,0,0,0,0,9.638638133,56.65109401,55.58260641,636140200
10.98,0,0.226860334,0.226860334,0.226860334,0.226860334,0.226860334,0,0,0,0,9.633975908,56.64127085,55.57463152,636720100
10.99,0,0.226834366,0.226834366,0.226834366,0.226834366,0.226834366,0,0,0,0,9.629323796,56.63145318,55.56666371,637300000
11,0,0.226808455,0.226808455,0.226808455,0.226808455,0.226808455,0,0,0,0,9.624677089,56.62163056,55.55869452,637879900
11.01,0,0.226782601,0.226782601,0.226782601,0.226782601,0.226782601,0,0,0,0,9.620039349,56.61181886,55.5507364,638459800
11.02,0,0.226756805,0.226756805,0.226756805,0.226756805,0.226756805,0,0,0,0,9.615409228,56.60200929,55.54278252,639039700
11.03,0,0.226731065,0.226731065,0.226731065,0.226731065,0.226731065,0,0,0,0,9.610786529,56.59220275,55.53483355,639619500
11.04,0,0.226705402,0.226705402,0.226705402,0.226705402,0.226705402,0,0,0,0,9.606170802,56.58239315,55.52688481,640199400
11.05,0,0.226679776,0.226679776,0.226679776,0.226679776,0.226679776,0,0,0,0,9.601563551,56.57259278,55.51894579,640779300
11.06,0,0.226654218,0.226654218,0.226654218,0.226654218,0.226654218,0,0,0,0,9.596964533,56.56279209,55.51100922,641359200
11.07,0,0.226628716,0.226628716,0.226628716,0.226628716,0.226628716,0,0,0,0,9.592370898,56.55299355,55.50307665,641939100
11.08,0,0.226603281,0.226603281,0.226603281,0.226603281,0.226603281,0,0,0,0,9.58778565,56.54320401,55.49515361,642519000
11.09,0,0.226577903,0.226577903,0.226577903,0.226577903,0.226577903,0,0,0,0,9.583209045,56.533415,55.4872337,643098900
11.1,0,0.226552572,0.226552572,0.226552572,0.226552572,0.226552572,0,0,0,0,9.578639186,56.5236281,55.47931791,643678800
11.11,0,0.226527298,0.226527298,0.226527298,0.226527298,0.226527298,0,0,0,0,9.574076472,56.51384017,55.47140391,644258700
11.12,0,0.226502092,0.226502092,0.226502092,0.226502092,0.226502092,0,0,0,0,9.569521011,56.50405588,55.46349523,644838600
11.13,0,0.226476941,0.226476941,0.226476941,0.226476941,0.226476941,0,0,0,0,9.564973347,56.49427987,55.45559546,645418500
11.14,0,0.226451848,0.226451848,0.226451848,0.226451848,0.226451848,0,0,0,0,9.560433997,56.48450662,55.44770048,645998400
11.15,0,0.22642681,0.22642681,0.22642681,0.22642681,0.22642681,0,0,0,0,9.555901905,56.47473401,55.43980854,646578200
11.16,0,0.226401831,0.226401831,0.226401831,0.226401831,0.226401831,0,0,0,0,9.55137668,56.46496518,55.43192199,647158100
11.17,0,0.226376904,0.226376904,0.226376904,0.226376904,0.226376904,0,0,0,0,9.546857919,56.45519539,55.4240372,647738000
11.18,0,0.226352033,0.226352033,0.226352033,0.226352033,0.226352033,0,0,0,0,9.542347025,56.44542971,55.41615816,648318000
11.19,0,0.226327213,0.226327213,0.226327213,0.226327213,0.226327213,0,0,0,0,9.537843756,56.435668,55.40828473,648897800
11.2,0,0.226302462,0.226302462,0.226302462,0.226302462,0.226302462,0,0,0,0,9.53334736,56.42590552,55.40041323,649477700
11.21,0,0.226277769,0.226277769,0.226277769,0.226277769,0.226277769,0,0,0,0,9.528859195,56.41615346,55.39255229,650057600
11.22,0,0.226253115,0.226253115,0.226253115,0.226253115,0.226253115,0,0,0,0,9.524376911,56.40639268,55.38468717,650637500
11.23,0,0.226228529,0.226228529,0.226228529,0.226228529,0.226228529,0,0,0,0,9.519903964,56.39665281,55.37684064,651217300
11.24,0,0.226203991,0.226203991,0.226203991,0.226203991,0.226203991,0,0,0,0,9.515436504,56.38690238,55.3689885,651797200
11.25,0,0.226179512,0.226179512,0.226179512,0.226179512,0.226179512,0,0,0,0,9.510977734,56.37716108,55.36114597,652377200
11.26,0,0.226155089,0.226155089,0.226155089,0.226155089,0.226155089,0,0,0,0,9.506524058,56.36741913,55.35330528,652957100
11.27,0,0.226130717,0.226130717,0.226130717,0.226130717,0.226130717,0,0,0,0,9.502078532,56.35768004,55.34546939,653537000
11.28,0,0.22610641,0.22610641,0.22610641,0.22610641,0.22610641,0,0,0,0,9.497641453,56.34794814,55.33764162,654116800
11.29,0,0.226082142,0.226082142,0.226082142,0.226082142,0.226082142,0,0,0,0,9.49321123,56.33822156,55.32982038,654696700
11.3,0,0.226057941,0.226057941,0.226057941,0.226057941,0.226057941,0,0,0,0,9.488786559,56.32849072,55.32199829,655276600
11.31,0,0.226033796,0.226033796,0.226033796,0.226033796,0.226033796,0,0,0,0,9.484369998,56.31875921,55.31417833,655856500
11.32,0,0.22600969,0.22600969,0.22600969,0.22600969,0.22600969,0,0,0,0,9.479960549,56.30903857,55.30636912,656436400
11.33,0,0.225985651,0.225985651,0.225985651,0.225985651,0.225985651,0,0,0,0,9.475557462,56.29931575,55.29856071,657016300
11.34,0,0.225961657,0.225961657,0.225961657,0.225961657,0.225961657,0,0,0,0,9.471163094,56.28959809,55.2907589,657596200
11.35,0,0.22593772,0.22593772,0.22593772,0.22593772,0.22593772,0,0,0,0,9.466773593,56.279883,55.28296131,658176100
11.36,0,0.225913841,0.225913841,0.225913841,0.225913841,0.225913841,0,0,0,0,9.462392572,56.27017428,55.27517121,658756000
11.37,0,0.225890008,0.225890008,0.225890008,0.225890008,0.225890008,0,0,0,0,9.45801827,56.26046986,55.26738684,659335900
11.38,0,0.22586623,0.22586623,0.22586623,0.22586623,0.22586623,0,0,0,0,9.453650699,56.25075905,55.25960012,659915800
11.39,0,0.22584251,0.22584251,0.22584251,0.22584251,0.22584251,0,0,0,0,9.449290509,56.2410575,55.25182295,660495700
11.4,0,0.225818834,0.225818834,0.225818834,0.225818834,0.225818834,0,0,0,0,9.444938055,56.2313577,55.24404967,661075500
11.41,0,0.225795215,0.225795215,0.225795215,0.225795215,0.225795215,0,0,0,0,9.440591733,56.2216627,55.23628244,661655400
11.42,0,0.225771651,0.225771651,0.225771651,0.225771651,0.225771651,0,0,0,0,9.436251655,56.21196835,55.22851812,662235300
11.43,0,0.225748134,0.225748134,0.225748134,0.225748134,0.225748134,0,0,0,0,9.431919768,56.20228143,55.22076204,662815200
11.44,0,0.22572468,0.22572468,0.22572468,0.22572468,0.22572468,0,0,0,0,9.427594376,56.19259438,55.2130083,663395100
11.45,0,0.225701263,0.225701263,0.225701263,0.225701263,0.225701263,0,0,0,0,9.423274482,56.18290134,55.2052524,663975000
11.46,0,0.225677911,0.225677911,0.225677911,0.225677911,0.225677911,0,0,0,0,9.418963735,56.17323223,55.19751725,664554900
11.47,0,0.225654593,0.225654593,0.225654593,0.225654593,0.225654593,0,0,0,0,9.407319409,56.16354693,55.19209588,665134800
11.48,0,0.225631341,0.225631341,0.225631341,0.225631341,0.225631341,0,0,0,0,9.402066463,56.15386943,55.18465559,665714600
11.49,0,0.225608143,0.225608143,0.225608143,0.225608143,0.225608143,0,0,0,0,9.396824105,56.1442019,55.1772238,666294500
11.5,0,0.22558498,0.22558498,0.22558498,0.22558498,0.22558498,0,0,0,0,9.391589536,56.13453121,55.16979029,666874400
11.51,0,0.225561881,0.225561881,0.225561881,0.225561881,0.225561881,0,0,0,0,9.386363803,56.12486969,55.16236448,667454300
11.52,0,0.225538827,0.225538827,0.225538827,0.225538827,0.225538827,0,0,0,0,9.381145062,56.11520413,55.15493623,668034200
11.53,0,0.225515827,0.225515827,0.225515827,0.225515827,0.225515827,0,0,0,0,9.375935205,56.1055362,55.14750697,668614100
11.54,0,0.22549288,0.22549288,0.22549288,0.22549288,0.22549288,0,0,0,0,9.370733497,56.09587988,55.1400872,669194000
11.55,0,0.225469978,0.225469978,0.225469978,0.225469978,0.225469978,0,0,0,0,9.365539876,56.08622397,55.13266844,669773900
11.56,0,0.225447129,0.225447129,0.225447129,0.225447129,0.225447129,0,0,0,0,9.360355751,56.07657568,55.12525629,670353800
11.57,0,0.225424325,0.225424325,0.225424325,0.225424325,0.225424325,0,0,0,0,9.355180124,56.06693023,55.11784703,670933600
11.58,0,0.225401573,0.225401573,0.225401573,0.225401573,0.225401573,0,0,0,0,9.350011187,56.05728077,55.11043532,671513500
11.59,0,0.225378875,0.225378875,0.225378875,0.225378875,0.225378875,0,0,0,0,9.34485185,56.04764147,55.10303213,672093400
11.6,0,0.22535622,0.22535622,0.22535622,0.22535622,0.22535622,0,0,0,0,9.339699805,56.03800043,55.09562827,672673300
11.61,0,0.22533362,0.22533362,0.22533362,0.22533362,0.22533362,0,0,0,0,9.334555908,56.02836428,55.08822881,673253200
11.62,0,0.225311061,0.225311061,0.225311061,0.225311061,0.225311061,0,0,0,0,9.329419715,56.01872875,55.08083051,673833100
